Host name,Host LinkedIn,Podcast name,Tag,Last updated (as of 1/10/2023),Number of episodes (as of 1/10/2023),Podcasts.apple.com,Spotify.com,Podcast Site,Link to podcast/webinar/youtube channel,Number of followers on LinkedIn
Samir Sharma,https://www.linkedin.com/in/samirsharma1/,The Data Strategy Show,data,Jan-23,65,https://podcasts.apple.com/us/podcast/the-data-strategy-show/id1515194422,https://open.spotify.com/show/1VBxFoQNPpAqyPAE4dGPpZ,,,"12,944"
Hugo Bowne-Anderson,https://www.linkedin.com/in/hugo-bowne-anderson-045939a5/,DataFramed,data,Jan-23,120,,,https://www.datacamp.com/podcast,,"11,804"
Jason Tan,https://www.linkedin.com/in/jpctan?originalSubdomain=au,The Analytics Show,analytics,Nov-22,128,https://podcasts.apple.com/us/podcast/the-analytics-show/id1462658527,https://open.spotify.com/show/6PiaQ3pWKw3ny8n2mF5uNc,https://ddalabs.ai/the-analytics-show/,,"9,450"
Ben Lorica,https://www.linkedin.com/in/benlorica/,The Data Exchange with Ben Lorica,data,Jan-23,161,https://podcasts.apple.com/us/podcast/the-data-exchange-with-ben-lorica/id1487704458,https://open.spotify.com/show/65oFWYoomwT8mLcdGkUGd0,https://thedataexchange.media/author/bglorica/,,"9,317"
Scott Hirleman,https://www.linkedin.com/in/scotthirleman/,Data Mesh Radio,data engineering,Jan-23,230,https://podcasts.apple.com/us/podcast/data-mesh-radio/id1601585312,https://open.spotify.com/show/4FIKajWDxdAPvW5925IBrF,https://daappod.com/data-mesh-radio/,,"9,164"
 Catherine King,https://www.linkedin.com/in/cat-king/,The Business of Data Podcast,data,Jan-23,118,https://podcasts.apple.com/gb/podcast/the-business-of-data-podcast/id1528796448,https://open.spotify.com/show/4op8cNfQRNrZMP5i79Aze9,,,"8,835"
Lea Pica,https://www.linkedin.com/in/leapica/,"The Present Beyond Measure Show: Data Storytelling, Presentation & Visualization",data,Nov-22,81,https://podcasts.apple.com/us/podcast/the-present-beyond-measure-show-data-storytelling/id1029765276,https://open.spotify.com/show/3GcPp99cGG5zsLbArpNL3z,https://leapica.com/podcast/,,"8,248"
Guy Glantser,https://www.linkedin.com/in/glantser/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAATvvIBpHABuINNEhDBeP3s1g8CozBRNUM,SQL Server Radio,"microsoft, data",Jan-23,138,https://podcasts.apple.com/us/podcast/sql-server-radio/id907987517,https://open.spotify.com/show/2f2y0Y7LyMxWux5NlRMuD4,https://www.sqlserverradio.com/,,"8,096"
Eitan Blumin,https://www.linkedin.com/in/eitanblumin/,SQL Server Radio,"microsoft, data",Jan-23,138,https://podcasts.apple.com/us/podcast/sql-server-radio/id907987517,https://open.spotify.com/show/2f2y0Y7LyMxWux5NlRMuD4,https://www.sqlserverradio.com/,,"1,654"
James Le,https://www.linkedin.com/in/khanhnamle94/,Datacast,machine learning,Jan-23,106,https://podcasts.apple.com/us/podcast/datacast/id1481793207,https://open.spotify.com/show/5MlCijZoapALDy0LLxuSY8,https://datacast.simplecast.com/,,"6,943"
